experiment,op,mode,W,H,C,radius,threads,iters,avg_ms,min_ms,mpix_s,check_maxdiff
exp1_size,blur,serial,256,256,3,7,12,20,45.576,44.497,1.47,
exp1_size,blur,cpu,256,256,3,7,12,20,8.014,6.810,9.62,
exp1_size,blur,gpu,256,256,3,7,12,20,21.153,18.775,3.49,
exp1_size,blur,serial,512,512,3,7,12,12,191.883,179.012,1.46,
exp1_size,blur,cpu,512,512,3,7,12,12,34.761,32.079,8.17,
exp1_size,blur,gpu,512,512,3,7,12,12,73.684,71.600,3.66,
exp1_size,blur,serial,1024,1024,3,7,12,6,760.061,735.009,1.43,
exp1_size,blur,cpu,1024,1024,3,7,12,6,127.584,121.624,8.62,
exp1_size,blur,gpu,1024,1024,3,7,12,6,289.788,287.999,3.64,
exp1_size,blur,serial,2048,2048,3,7,12,3,3010.513,2985.900,1.40,
exp1_size,blur,cpu,2048,2048,3,7,12,3,518.053,511.921,8.19,
exp1_size,blur,gpu,2048,2048,3,7,12,3,1363.013,1358.162,3.09,
exp1_size,blur,serial,4096,4096,3,7,12,2,12414.352,12333.367,1.36,
exp1_size,blur,cpu,4096,4096,3,7,12,2,2259.506,2219.686,7.56,
exp1_size,blur,gpu,4096,4096,3,7,12,2,5149.465,5091.377,3.30,
exp2_thread,blur,serial,2048,2048,3,7,12,3,3274.651,3203.430,1.31,
exp2_thread,blur,cpu,2048,2048,3,7,1,3,2941.283,2863.378,1.46,
exp2_thread,blur,cpu,2048,2048,3,7,2,3,1694.905,1588.289,2.64,
exp2_thread,blur,cpu,2048,2048,3,7,4,3,1001.679,923.681,4.54,
exp2_thread,blur,cpu,2048,2048,3,7,6,3,750.106,716.870,5.85,
exp2_thread,blur,cpu,2048,2048,3,7,8,3,671.487,665.735,6.30,
exp2_thread,blur,cpu,2048,2048,3,7,12,3,748.718,719.462,5.83,
exp2_thread,blur,gpu,2048,2048,3,7,12,3,1321.699,1301.546,3.22,
exp3_radius,blur,serial,1024,1024,3,3,12,2,217.958,195.679,5.36,
exp3_radius,blur,cpu,1024,1024,3,3,12,3,37.489,35.651,29.41,
exp3_radius,blur,gpu,1024,1024,3,3,12,3,92.196,87.018,12.05,
exp3_radius,blur,serial,1024,1024,3,7,12,2,841.541,833.718,1.26,
exp3_radius,blur,cpu,1024,1024,3,7,12,3,144.861,143.425,7.31,
exp3_radius,blur,gpu,1024,1024,3,7,12,3,308.724,307.984,3.40,
exp3_radius,blur,serial,1024,1024,3,11,12,2,1781.351,1776.666,0.59,
exp3_radius,blur,cpu,1024,1024,3,11,12,3,314.438,303.788,3.45,
exp3_radius,blur,gpu,1024,1024,3,11,12,3,784.787,775.354,1.35,
exp3_radius,blur,serial,1024,1024,3,15,12,2,3305.334,3249.644,0.32,
exp3_radius,blur,cpu,1024,1024,3,15,12,3,588.050,583.686,1.80,
exp3_radius,blur,gpu,1024,1024,3,15,12,3,1462.355,1458.473,0.72,
exp4_sobel,sobel,serial,256,256,3,7,12,50,0.469,0.354,184.96,
exp4_sobel,sobel,cpu,256,256,3,7,12,50,0.094,0.086,759.15,
exp4_sobel,sobel,gpu,256,256,3,7,12,50,1.489,1.418,46.21,
exp4_sobel,sobel,serial,512,512,3,7,12,30,1.614,1.458,179.74,
exp4_sobel,sobel,cpu,512,512,3,7,12,30,0.788,0.338,776.42,
exp4_sobel,sobel,gpu,512,512,3,7,12,30,3.734,3.337,78.55,
exp4_sobel,sobel,serial,1024,1024,3,7,12,12,6.540,5.993,174.96,
exp4_sobel,sobel,cpu,1024,1024,3,7,12,12,1.750,1.412,742.36,
exp4_sobel,sobel,gpu,1024,1024,3,7,12,12,10.938,10.533,99.55,
exp4_sobel,sobel,serial,2048,2048,3,7,12,6,27.993,23.722,176.81,
exp4_sobel,sobel,cpu,2048,2048,3,7,12,6,8.002,6.885,609.24,
exp4_sobel,sobel,gpu,2048,2048,3,7,12,6,38.304,32.885,127.54,
exp4_sobel,sobel,serial,4096,4096,3,7,12,3,99.302,94.411,177.70,
exp4_sobel,sobel,cpu,4096,4096,3,7,12,3,31.612,30.579,548.66,
exp4_sobel,sobel,gpu,4096,4096,3,7,12,3,126.377,122.641,136.80,
